code-appsscript-1 | machine | 첫 학생 · 밤 배치(aiStudioBatch_ | 학생이 매일 읽는 AI 글에 「어느 AI가 썼나」 도장이 없다
code-appsscript-2 | machine | 첫 학생(웰컴은 등록 즉시 나간다) · 개원 뒤 | 학부모에게 나간 편지 두 종의 본문이 어디에도 안 남는다
code-appsscript-3 | machine | 첫 진로 관측(재학 중 대학 지원 포함 — 엔진 | 졸업생 진로 원장에 「실제로 그 일이 일어난 날」 칸이 없다 — 「우리가 알게 된 날」만 있다
code-appsscript-4 | machine | 첫 수업일(개원 2027-02-25) · 그전  | 「그날 수업이 열렸나」를 적는 자리가 없다 — 휴강과 강사가 안 찍은 날이 같은 얼굴이다
code-appsscript-5 | machine | 첫 출석(첫 발걸음 업적이 그날 발급된다) ·  | 업적 「달성일」이 실제 도달한 날이 아니라 밤 배치가 알아챈 날이다
code-appsscript-6 | machine | 첫 첨삭 발행(그 주 월요일에 첫 표본이 뽑힌다 | 강사 채점표에 「강사가 언제 답했나」 칸이 없다 — created_at 은 표본을 뽑은 날이다
code-appsscript-7 | machine | 첫 수강료 수납(개원 전 사전등록이 있으면 그날 | 수납 원장에 「그 돈이 어느 기간 몫인가」가 없다
code-talk-1 | machine | 첫 학생 제출(값이 쌓이기 시작하는 날) · 못 | 그날 그 제출·관찰이 「어느 반」에서 나왔는지가 아무 데도 안 남는다
code-talk-2 | machine | 첫 강사 피드백(개원 첫 수업 · 강사가 반 큐 | 강사가 「한 마디」를 고쳐 쓰면 처음 쓴 말이 그 자리에서 사라진다
code-talk-3 | machine | 첫 교실 관찰(개원 첫 수업 · 강사가 obse | 교실 관찰에서 「AI 가 뭐라고 했나」가 참·거짓 한 칸으로만 남는다
code-talk-4 | machine | 첫 동의 발급(첫 학생 계정 · node too | 동의 행에 「그 학생이 어느 글에 동의했나」 지문이 빈 채로 들어간다
code-talk-5 | machine | 첫 철회 요청 | 철회를 「언제 말했나 · 누가 받았나」가 안 남는다 — 처리한 날만 남는다
code-talk-6 | person | 개원 전 오픈 이벤트 첫 참가자(첫 음성 수집) | 앱 안에 동의 화면이 없다 — 상담을 안 거치는 오픈 이벤트 참가자는 동의 근거가 0이다
code-talk-7 | machine | 첫 나침반 세션(첫 시즌 시작 · 개원 첫 주) | 나침반(시즌 첫 답)을 고쳐 쓰면 처음 답도, 고쳤다는 사실도 안 남는다
critic-1 | machine | 12월 파일럿 첫 차시(2026-12-07) — | 파일럿에 「시작점을 재는 회차」가 없다 — 「AI 없이 낸 실력」은 첫 주에만 존재한다
critic-2 | machine | 파일럿 첫 채점(12월 파일럿 첫 회차 결과를  | 채점하는 사람이 「이 아이가 A조인지 B조인지」를 알면 파일럿 2주가 통째로 무효다
critic-3 | yuho | 12월 파일럿 첫 차시(2026-12-07) — | 소급 불가 칸들이 «실제 값»을 제대로 받는지 확인한 행이 0 — 첫 코호트가 그 시험대가 된다
critic-4 | yuho | 2026-10-05 (임대차 계약 서명) — 오 | 임대차 계약이 10월 5일까지 안 서면 12월 파일럿이 통째로 밀린다 — 파일럿에서만 잴 수 있는 값 전부가 같이 밀린다
critic-5 | yuho | 2027-02-11 (한국 출원 2026-08- | 몽골 상표 우선권이 2027-02-11에 끝난다 — 먼저 낸 사람이 이기는 나라라 그 뒤엔 돈으로도 못 되돌린다
critic-6 | machine | 몽골 출원 전 · 그리고 광고·게시물이 나가는  | 「우리가 언제부터 이 이름을 썼나」의 증거는 지금 모으는 게 마지막 — 플랫폼이 지우면 그날로 끝난다
critic-7 | yuho | 첫 학생 동의 서명(12월 파일럿 코호트 202 | 동의문의 주어가 「SYNK LAB」 하나뿐 — 08-27에 한국 법인이 따로 서기로 확정됐는데 동의는 그 법인을 안 덮는다
