마일스톤,날짜,분류,비고,상태
Glide 앱 정식 출시,2026년 12월 1일,제품,,예정
커리큘럼·반편성 최종 확정,2026년 8월 15일,제품,15반 정본 기준 확정,예정
공간 계약 + 인테리어 설계,2026년 10월 1일,운영·자금,실제 자금·입지 진행에 따라 날짜 조정,예정
인테리어·기자재 조달 (CAPEX 집행),2026년 11월 1일,운영·자금,자금 시점에 크게 좌우,예정
Glide 앱 베타 완성·내부 테스트,2026년 9월 15일,제품,월 500 update 제약 실측 포함,예정
인스타·페북 유료광고 시작 → 사전등록 오픈,2027년 1월 5일,마케팅,사전등록 리드 = 개원 전 현금화 씨앗,예정
무료이벤트 세팅 (성취 장치 + 게임 승계 넛지),2027년 1월 20일,마케팅,승계 넛지=SYNK 게임화 고유 전환 훅,예정
D-2주 무료 파일럿 → 종료일 전환 넛지·얼리버드,2027년 2월 1일 → 2027년 2월 14일,개원,사전등록자 대상(공짜사냥꾼 필터),예정
강사 교육·수업 리허설,2026년 11월 15일,운영·자금,,예정
광고 소재 제작 + 무료이벤트 커리큘럼 설계,2026년 12월 15일,마케팅,,예정
개원 + 유료 등록 오픈,2027년 2월 15일,개원,"개원일 미확정 — 2/15 가정, 확정 시 조정",예정
강사(리드크루) 채용 시작,2026년 10월 15일,운영·자금,,예정
사전등록 구글폼 + 페이스북 페이지 정비,2026년 11월 20일,마케팅,"몽골=FB 중심, 랜딩 대신 이 조합",예정
인스타·페북 콘텐츠 꾸준 발행 (채널·팔로워 성장),2026년 8월 1일 → 2027년 2월 1일,마케팅,개원까지 지속 — 유입 기반 쌓기,예정
